O__3__5007A	N__2__6584A	H__1__6563A	oxygen
1.13306243836e58	3.15741653467e58	8.465943086e58	-3.1
3.42011987292e59	1.96658128904e58	3.82678097448e59	-4.7
1.9919317079e55	8.79993595982e57	2.95364632532e58	-2.9
1.09445528168e59	1.51761218935e57	7.58633813601e58	-3.9
1.3004028118e56	9.59430498831e56	1.59360285671e58	-3
4.54731969943e59	6.23433665474e56	2.780187567e59	-4.3
3.48272851916e59	4.70354986736e56	3.82898210273e59	-4.7
4.36488135054e58	1.79188530745e58	7.63310885003e58	-4.5
7.76890989905e58	6.52013985859e57	1.38870636951e59	-3.2
6.52182722708e59	3.65532023641e58	2.85090094912e59	-4
5.82702506793e58	2.31594180506e57	7.66819510514e58	-4.4
9.8199711132e58	3.26372123425e58	1.3696242032e59	-3.3
1.21627195412e58	1.32280686765e58	4.58476165716e58	-4.7
4.31941775237e59	2.1717976922e56	4.96252102555e59	-4.8
8.7323597708e59	6.00749431842e58	7.27721313291e59	-3.2
1.94854125375e59	9.66716368809e57	1.31201283234e59	-3.5
1.2181850576e59	3.1498800332e57	5.7087598628e59	-3
1.94352553434e58	3.79120589804e57	4.58653314801e58	-4.5
4.01176909503e55	3.75052741551e57	4.86987023293e57	-3.3
1.67723283421e59	2.19807487435e57	1.23234683976e59	-4.2
7.56473803549e59	3.23337526516e57	3.09188730001e59	-3.6
8.82343702221e57	2.06506991714e56	4.70025789758e58	-4.9
3.22616222838e57	4.96279807924e58	8.70676399967e58	-3.1
2.36567969981e55	1.14187813078e57	4.89024018294e57	-4.9
8.17413722033e59	1.58274119414e57	3.00003640798e59	-3.7
1.1503538145e60	1.13988270809e59	4.31478493636e59	-3.7
2.21189013811e56	5.4197160638e57	5.11154302255e58	-2.9
7.80343589277e59	1.54812473302e58	3.01249986533e59	-3.7
5.34036939113e58	1.01596053748e58	1.26006626209e59	-4.8
1.43541549311e56	3.10061981933e58	1.59287703027e59	-2.9
4.96963338801e59	2.79195841679e58	3.91587618801e59	-4.4
3.02939989545e55	1.94052517974e55	4.9082002416e57	-4.8
2.37648770197e59	3.03750842181e57	1.24183674811e59	-3.9
4.41814669866e58	2.127550497e58	8.10965842702e58	-3.3
1.01842721412e59	4.81277021723e57	1.24671672771e59	-4.5
4.55263363869e55	9.52358170765e55	4.87536838485e57	-4.6
3.68756540536e55	4.28073988627e56	4.88490419614e57	-4.7
1.91020718436e60	6.35643121637e57	5.92547499132e59	-3.6
3.75330749369e59	3.69612027485e58	2.7751138289e59	-4.4
2.86197608121e58	2.13281749764e58	8.24326645819e58	-3.2
1.95747776401e59	3.63164800495e57	1.23127464126e59	-4.1
3.89145465873e59	1.12766289819e59	1.99378154027e59	-3.8
1.55237507494e56	1.00275321726e57	4.7220895306e57	-3.6
1.45699167949e56	2.72095503366e57	4.7145509296e57	-3.7
9.1107141408e58	3.91334337375e58	7.80019270586e58	-3.6
3.93076158969e57	1.03939267799e58	2.65802130993e58	-4.7
1.17398862211e57	1.60898155068e58	2.77481815486e58	-3.1
7.77277374048e59	1.45823955713e57	2.87227942343e59	-3.9
1.18467167977e59	1.03007738521e57	7.61697829855e58	-3.8
7.09093946724e58	1.95935996824e58	1.39423927245e59	-3.2
5.63808040454e59	2.60367727964e58	5.20424042117e59	-3.2
1.44859904181e57	2.03783683167e57	1.50987911826e58	-3.3
8.14686762413e59	7.6243731975e58	7.32672318479e59	-3.2
2.23301751572e59	2.56443918734e57	2.80600204155e59	-4.7
4.3995410127e58	7.16097203492e57	4.47564582671e58	-3.9
3.11323993015e57	6.27567082508e56	1.49034566867e58	-4.1
1.4567251501e58	1.11691047533e58	2.58584131498e58	-3.8
5.96224076793e59	9.52548663247e57	2.81403371992e59	-4.1
6.4366807388e58	1.26954088185e58	1.25170079588e59	-4.7
1.41974910809e57	2.68322535718e57	1.5108452976e58	-3.3
2.65485006683e58	2.7164307839e58	8.2646731143e58	-3.2
1.99311553592e59	1.15460552632e57	1.23109829747e59	-4.1
5.07530762779e59	1.46774424582e59	5.17335449897e59	-3.3
1.00332922968e58	1.89762152782e58	2.63535377162e58	-3.5
1.30987180754e60	9.3692085837e58	6.58001175105e59	-3.4
5.72706841582e58	1.55476731883e58	3.81991860354e59	-3
4.8485891806e57	1.41629086402e58	2.48637842099e59	-2.9
1.8782155375e59	2.84986315225e58	1.91274969332e59	-4.5
7.75734499993e59	5.68038491227e56	4.9195682159e59	-4.5
1.90655390544e56	1.15982959955e57	8.63184687926e57	-3.2
1.96309329422e55	5.60476212086e56	4.94117638159e57	-3.1
3.2595402331e59	7.31481508382e58	2.12061646147e59	-3.5
2.39044286484e59	3.63133246216e56	1.91179197338e59	-4.4
1.17073315293e55	6.26322328654e57	2.97188763485e58	-2.9
1.71122991312e55	4.86991018291e57	4.9709377042e57	-3.2
5.72417335657e58	4.35870569578e57	1.27232727825e59	-4.8
6.60085535503e59	1.31511270677e58	5.06632039677e59	-4.5
8.78278806929e58	1.56363909293e56	1.96374384181e59	-4.9
7.77993946531e59	1.92790521658e58	4.95197707606e59	-3.3
6.13626151499e59	5.6409106591e58	2.94470078104e59	-3.9
1.08261389274e58	1.45250060732e57	4.67463862201e58	-4.8
1.14693834306e56	3.11012195526e57	4.76162105049e57	-3.5
1.21216901625e59	1.41873046667e58	1.23830070822e59	-4.4
2.74682380875e55	1.03849954573e58	9.02009492855e57	-3.1
4.38194545047e59	4.58079627924e58	2.77952345824e59	-4.3
1.4831850277e59	6.8672996993e57	2.83010132501e59	-4.9
1.48116891662e59	9.61865442437e58	2.26707647444e59	-3.3
1.68026991043e59	6.95704086894e56	1.23249877806e59	-4.2
5.98804202072e58	8.86144308445e57	3.80153828812e59	-3
1.87611777335e59	6.59026142283e58	1.28211416128e59	-3.7
1.08848885021e58	2.06252558743e58	2.58920291678e58	-4.1
3.36497691548e57	4.76734681195e57	2.68941664996e58	-4.8
4.2440555497e59	1.35428032176e58	1.94963956627e59	-3.9
1.41537942217e58	6.13448326242e57	2.60422706272e58	-3.6
