O__3__5007A	N__2__6584A	H__1__6563A	oxygen
1.66017732916e57	1.00306309388e58	1.49475464947e58	-4.4
4.75555558476e56	6.65068502636e56	8.46346206231e57	-3.4
1.51515055586e59	5.17876007062e56	2.83695240417e59	-4.9
1.10438308291e59	1.32986265791e58	7.62674407712e58	-3.8
9.5380315673e58	4.34445601912e57	2.33901674249e59	-3.1
4.59657384153e57	1.90746641227e58	4.85390972316e58	-3.1
8.77323261986e55	3.74470594839e57	4.76044371704e57	-4.2
6.23563838018e56	2.08088191948e56	8.45602496133e57	-4.1
9.15697048427e55	4.02976086676e56	2.89573248903e58	-2.9
2.39044182805e59	1.69137105861e56	3.85703894306e59	-4.9
7.26568924932e59	2.45387849556e58	3.93538543231e59	-4.2
3.93811939285e57	4.30305246496e57	1.47375532511e58	-3.8
1.46203661844e56	6.881664352e56	4.72817810699e57	-3.9
4.51243290405e59	1.09233345707e58	2.00934511801e59	-3.7
4.32021497903e58	1.10655203115e57	4.53672295991e58	-3.6
6.01263218962e56	7.21315760319e57	8.36840089531e57	-4
8.7271053317e56	8.32861596628e56	8.36128486118e57	-3.8
2.98135558618e57	3.45248647562e57	1.4864005062e58	-4.1
8.45268628239e59	1.46124257079e59	7.09723738552e59	-3.3
2.52657425913e59	1.39252376731e58	1.90888698396e59	-4.3
2.43938371738e55	3.67430708007e55	4.91659909269e57	-4.9
9.195629029e59	3.08409805085e58	3.91596581193e59	-4.1
1.44659116357e59	2.36765209589e57	1.23499748895e59	-4.3
1.28693124155e57	6.92137027055e56	1.52940330252e58	-4.6
9.13298664629e59	4.09398260673e58	3.91830518692e59	-4.1
5.02791404809e55	5.78267065965e57	4.85211825018e57	-3.4
1.98157963479e59	1.20420446081e59	2.21047338473e59	-3.4
1.30519634075e60	1.25884511349e59	6.61103013405e59	-3.4
1.43776726369e57	1.52250048507e58	1.51473717652e58	-3.4
6.73517874336e55	8.25263529908e55	4.83904113717e57	-4.4
2.84089163255e56	1.47944615727e57	5.09071004669e58	-2.9
5.62382051426e56	1.54627897743e58	8.38102559973e57	-3.8
1.98273176354e59	9.1815904516e56	1.92122664163e59	-4.5
4.14550618829e59	2.87777723762e57	4.97975781552e59	-4.8
1.61871308549e58	1.17875050942e57	2.58543520054e58	-3.8
2.16410270778e56	1.25499561268e58	8.64688438071e57	-3.4
4.15601689994e58	8.9568526884e57	8.56214416846e59	-2.9
1.08004932793e59	1.95939116152e57	1.95430457192e59	-4.8
1.10055044247e59	3.49894788317e56	1.95927843028e59	-4.8
9.62821941936e55	2.21985887165e56	4.79322230776e57	-4.2
1.00436145688e58	7.24810013003e58	4.77302375202e58	-3.4
8.82405093894e58	1.8129691784e58	7.55263871462e58	-4.1
1.91898313946e59	1.40629756138e59	3.59819518794e59	-3.3
4.53140013642e58	4.11344216904e57	4.50547341271e58	-3.7
2.73512260297e58	1.26306274482e56	7.8903630589e58	-4.8
2.23714529451e59	2.30262471484e58	1.27218765278e59	-3.7
2.29605718078e59	3.60307038058e56	1.91115924121e59	-4.4
8.21279702966e56	2.26989646913e56	8.38918041118e57	-3.9
6.93246301927e59	2.49795032907e58	2.90864142552e59	-3.9
8.58417310482e56	3.32706784085e56	1.54274216621e58	-4.8
7.92792805248e56	2.38851810661e57	8.3815210784e57	-3.6
3.78215295432e59	2.7832023619e58	2.77573759581e59	-4.4
3.93710937267e56	4.42255108113e57	8.50469284198e57	-3.4
2.78427632732e59	4.11189854694e58	3.56911969718e59	-3.2
2.20927240956e59	1.23242701586e59	8.2778834486e59	-3.1
1.25761942933e58	3.30110837644e57	4.72796069741e58	-3.2
5.0376642513e59	3.602887572e57	4.96797698249e59	-4.7
4.66102098668e56	1.01475080805e57	1.55124330236e58	-3.1
5.97354152734e59	7.15105901584e57	2.81379643225e59	-4.1
3.00500792842e59	4.08048540758e58	1.90492626223e59	-4.2
1.97759583403e58	1.60911756368e57	4.59770038737e58	-4.5
3.13961445713e54	2.4148579255e57	5.13423642113e57	-3
1.56283170692e57	3.19074887486e58	1.51282724875e58	-3.6
1.26332455687e59	1.07833734673e57	1.24280013275e59	-4.4
2.52660960289e56	1.2953951777e57	8.64445128964e57	-4.6
2.65909928573e57	4.54531021925e58	2.73252215671e58	-3.4
5.10239127735e58	2.21435469431e58	7.59221463164e58	-4.4
1.23824813402e60	1.91774340548e58	4.40498707275e59	-3.6
5.20308437613e58	1.3454132707e58	1.25633158073e59	-4.8
2.89035270532e59	1.65145821647e58	2.79744789079e59	-4.5
2.24748943545e59	3.96757813806e57	3.85551219596e59	-4.9
4.43400118585e59	1.01764898548e58	3.40177558287e59	-3.3
1.14704725844e58	2.66792596941e58	2.6035760003e58	-3.7
1.19552704176e60	6.13322440584e56	5.08230739532e59	-4.2
2.42367791242e55	2.74512570067e56	4.91048634531e57	-4.9
1.20351326195e58	2.89294821686e57	2.60222129327e58	-4.1
1.39469292197e58	6.0804546683e57	2.60472950137e58	-3.6
9.27737471123e55	2.07486438768e56	4.77105348177e57	-3.4
2.26093291942e57	7.43972944202e56	1.50665716636e58	-4.3
1.49076733848e56	5.21988917557e56	4.73183270694e57	-3.9
1.76345917782e60	1.00191459973e59	5.58156549177e59	-3.8
2.98449318097e59	1.29960060863e58	1.9101020071e59	-4.2
4.17572449307e59	3.31831421115e58	2.01906515194e59	-3.7
1.28333429106e57	9.21684227983e56	1.52868820621e58	-4.6
3.38531181923e59	1.72262463035e57	4.98388437793e59	-4.9
4.27265554475e59	5.73518686231e57	1.94938273531e59	-3.9
9.68220390968e58	2.46329182441e57	2.33748445964e59	-3.1
7.04722079581e59	6.41171659876e57	3.83350552626e59	-4.3
2.24011365381e59	2.66810603494e58	1.90657112925e59	-4.4
6.63289807902e55	8.17992177961e56	4.82947493833e57	-4.4
9.43881400777e59	1.5349883778e58	5.11408764781e59	-4.3
7.18374870374e59	2.35549279185e58	4.97993387462e59	-4.5
1.29735927373e58	1.35069606738e58	4.62228242019e58	-4.7
4.18851877137e57	3.37940867917e57	2.68413073017e58	-4.7
8.99124379114e57	1.31773085324e57	2.6363477522e58	-3.4
4.36620250658e58	9.51170155461e57	4.47495951425e58	-3.9
1.908840048e59	8.56302551741e56	1.23239599152e59	-4.1
7.81194242704e59	2.07144072829e57	3.01233613348e59	-3.7
1.21148135997e58	1.6322358605e57	2.60326013504e58	-4.1
9.86900828256e57	6.38083985257e58	8.51882280088e58	-3.2
5.46189471854e59	4.70553450979e58	7.75757987618e59	-3.1
3.83780281931e59	1.91472716578e57	2.09698316927e59	-3.5
5.22319532694e57	4.55304284878e57	8.54493392218e58	-3
3.01735179508e55	1.08885858662e56	4.9048277278e57	-4.8
1.49881316502e58	5.58409054557e56	2.58695133752e58	-3.9
8.84274197144e59	6.10998877172e58	7.28059817532e59	-3.2
5.05091065488e59	7.35413811385e56	3.81334669807e59	-4.5
2.96914556387e55	8.46318037926e57	1.63474526233e58	-3
6.95183786176e59	3.23530634129e58	3.96172400654e59	-4.2
2.23384916847e57	9.86457544762e56	1.50482195098e58	-4.3
1.14877189034e60	3.93516642734e57	4.55603461661e59	-3.5
6.05242255863e57	2.45893247009e58	2.66796794348e58	-3.4
2.21434628183e59	2.15928331135e58	2.21307867643e59	-3.3
2.47570585713e56	3.03789633725e57	8.61818522432e57	-4.6
1.89870155297e60	1.49950295632e58	5.93077743543e59	-3.6
2.68625783304e59	1.0117096826e58	2.79039355123e59	-4.6
1.00525107002e56	3.3726186613e57	4.73884096013e57	-4.1
9.28029848093e55	1.3202107724e57	8.77704591358e57	-3.1
5.69042321407e59	5.39479388718e57	3.28349087935e59	-3.4
1.08123672015e59	6.20006149536e56	1.95484258857e59	-4.8
4.21454757342e57	5.9492024777e56	1.47423729447e58	-3.8
1.10759856612e57	9.65786960166e57	1.52169111674e58	-3.3
9.82064678455e58	1.11627139908e59	5.89997532003e59	-3.1
1.08950466317e60	5.34829851011e58	5.40340730854e59	-4.1
3.83714051544e57	8.9046638296e56	1.47656436475e58	-3.9
3.55660783298e55	2.35802680531e57	4.8583303603e57	-4.7
2.59601213125e56	1.06393050673e58	8.60332015666e57	-3.4
5.40902603307e59	1.59881652713e58	3.87020960763e59	-4.4
4.53411101426e59	7.80024570407e57	3.3995323859e59	-3.3
6.00547881121e59	9.17465270969e56	3.81819388041e59	-4.4
1.20810394503e60	4.21485646347e58	4.16528363769e59	-3.8
1.03306287191e60	6.73503840076e57	7.14264966243e59	-3.2
1.29013643319e60	2.03212220783e58	6.78850812378e59	-3.3
4.39750849335e59	3.33098173658e56	3.80601951044e59	-4.6
8.22152460046e56	1.8312574041e57	8.37774040571e57	-3.6
5.26328094867e57	4.27919991235e56	2.68369613487e58	-4.6
8.73319698585e55	1.94048285143e58	1.60812996401e58	-3.1
5.16638698671e56	2.23877417385e57	8.47657879771e57	-4.2
4.21021209675e58	8.18773148754e57	4.54024086731e58	-3.6
2.53170226119e56	9.72413118432e56	8.64654493594e57	-4.6
3.73281675723e59	1.88592598886e58	2.10147508093e59	-3.5
6.21095677121e54	4.11083986054e56	9.24688207802e57	-2.9
1.280308127e60	6.18821517583e57	4.38975454937e59	-3.6
1.73008861727e59	3.77635421446e58	1.3190225671e59	-3.5
4.22017699681e59	4.43956760404e58	2.0177566423e59	-3.7
1.24027618411e60	4.56366307778e57	4.4018628764e59	-3.6
2.03152334486e54	3.16136082191e57	5.16906576681e57	-3
4.26572697641e56	3.20776522765e57	8.49785039075e57	-4.3
8.65523068884e59	9.35434277145e57	4.99453698815e59	-4.4
2.77198238342e59	2.53222495591e57	1.90509537624e59	-4.3
7.82550966187e59	3.29482526471e57	3.08446881399e59	-3.6
7.66207927616e59	1.7237284605e58	2.95073588285e59	-3.8
4.7126294483e58	1.96258867397e56	1.2823737859e59	-4.9
3.48735750028e59	3.07733382916e56	4.97479910827e59	-4.9
5.74450150749e58	7.76534713798e56	1.27363456794e59	-4.8
1.84591265193e59	6.13767630984e58	2.23777971909e59	-3.3
8.54644390075e58	5.3536731457e58	1.37845744776e59	-3.3
3.11640847257e59	3.11996186511e57	1.90716734948e59	-4.2
3.15118870958e58	1.26985129816e58	4.49741921758e58	-4.2
7.2053819717e56	5.36098048649e57	8.39731817246e57	-3.6
3.32713845285e55	3.33221419051e56	8.96434457321e57	-3
7.70552103102e59	1.90702291358e58	4.95256050818e59	-3.3
1.09812285701e56	1.44404025891e58	8.78008242748e57	-3.3
1.10557276344e56	1.12622120876e57	4.76387267111e57	-4.1
1.82220636584e56	1.30525126939e58	1.58740812664e58	-3.1
1.19375585795e55	3.40658132713e57	1.65542793262e58	-2.9
6.69852251982e55	3.46919763785e56	4.83572444805e57	-4.4
7.55670106814e59	4.30831338547e57	3.0922061024e59	-3.6
4.30482353849e57	3.41935057462e56	2.69720779121e58	-4.7
9.05370446648e56	2.71455541875e58	1.53504066158e58	-3.4
1.60890496987e59	1.2193708609e58	1.23162834712e59	-4.2
5.66939361026e58	1.3716373191e58	1.26902208509e59	-4.8
8.2528607823e55	7.14027209204e57	4.71399095115e57	-4.1
2.72147354565e57	2.08607916866e58	1.47405873646e58	-4
4.30304602039e59	3.85989028705e56	4.96365471551e59	-4.8
7.14372592595e56	1.12419837589e57	8.41145024953e57	-3.5
5.76799391998e54	6.95051212571e56	9.25628293224e57	-2.9
1.3786677119e55	2.46112003712e57	4.98533249258e57	-3.1
1.91451118826e57	2.15831059971e57	2.73800747504e58	-3.1
9.54945839942e58	2.90249673587e58	7.55570313948e58	-4
1.12487308595e58	4.23375352979e58	4.75065575379e58	-3.3
6.94794297885e56	6.30654466698e55	1.54741746348e58	-4.9
8.61796317167e55	2.23722329462e57	8.79370273272e57	-3.1
9.95827618054e58	9.37414338974e57	7.56367382753e58	-4
3.07431512827e59	9.40823876908e58	2.12923557435e59	-3.5
7.90903110917e55	2.75366737985e57	2.90150985377e58	-2.9
7.27585744572e57	2.33949236949e58	2.59353513877e58	-4.3
3.69895703045e55	3.21551133676e56	4.88738485061e57	-4.7
1.25657197543e57	3.84467214776e57	1.52339408776e58	-4.6
1.06181760561e58	2.38680167278e57	2.61787773112e58	-4.2
1.15600148607e60	7.70846805201e58	4.44131165007e59	-3.6
7.50087689164e59	8.11282296843e57	2.88367442559e59	-3.9
7.12087152712e55	1.39146171821e58	8.87563519067e57	-3.3
4.20517249359e59	1.86008361615e57	3.81772351365e59	-4.6
7.04140946359e59	4.81004179962e57	3.83443002928e59	-4.3
8.42491961939e56	3.29859937648e56	8.37201208296e57	-3.6
9.38659975633e58	6.85446242218e58	7.65313366464e58	-3.8
5.40019521314e59	4.36477349429e57	2.78322716199e59	-4.2
1.95847556311e58	7.51622064477e58	4.01687208214e59	-3
2.93932457823e59	7.48874024116e58	1.96471700056e59	-4
8.83713519329e56	7.1206103798e56	8.3547062024e57	-3.7
2.56656191126e56	2.32297591883e56	8.66536624956e57	-4.6
1.57050035016e58	2.37876231619e57	2.58983937249e58	-3.7
1.10576359228e60	6.38485283734e58	4.33412583847e59	-3.7
1.80650338816e59	1.14346445158e59	1.28520549178e59	-3.7
6.06267490495e57	1.81633869583e57	2.6614042151e58	-3.3
6.41179051917e59	1.21419840054e58	7.62148141484e59	-3.1
3.25774775175e58	5.4423314483e56	4.51129392028e58	-4.2
1.05551793623e58	1.33945320049e57	2.61728333059e58	-4.2
4.53873667606e56	3.31680882485e56	8.55008357317e57	-4.3
7.62430133753e56	4.90887837799e57	8.36382396451e57	-3.7
4.06817563484e58	1.48862969241e57	7.77962439692e58	-4.6
4.57071720357e58	3.46359470041e57	1.27498498086e59	-4.9
1.31403194415e57	4.53464345328e57	1.51407862719e58	-3.3
2.27976317666e59	5.32578494775e57	1.24397942523e59	-3.9
4.00811589281e58	6.24309918283e57	7.75914317198e58	-4.6
6.65573479125e59	1.39748661632e59	3.05829020829e59	-3.7
9.04780175631e57	4.60242313416e56	2.63389302872e58	-4.3
3.31142787284e57	5.99698302968e56	1.48650012928e58	-3.5
1.91779554834e60	5.351110841e57	5.71400245185e59	-3.7
1.02231901175e60	6.56112913633e57	5.02946627406e59	-4.3
9.71287913271e59	5.87480457084e58	4.15952883746e59	-3.9
1.02470219845e60	6.56291243843e57	5.02693380402e59	-4.3
1.10794646802e57	2.31427397061e58	1.52629293355e58	-3.4
1.59000001297e58	1.34660045049e57	2.58945045241e58	-3.7
9.31739527547e59	5.32132821923e56	4.92375124748e59	-4.4
2.68614373758e57	3.86628136251e56	1.4992391217e58	-4.2
2.64601541091e57	2.87893598209e56	1.49753017982e58	-4.2
3.89441069198e56	5.11127173418e57	1.55842320916e58	-3.1
5.54019665781e55	2.10241516985e56	4.85602239485e57	-4.5
4.22059411204e57	2.54243581083e57	2.68769442459e58	-4.7
2.9788667079e57	3.45123494506e57	1.48636271869e58	-4.1
9.55423526017e59	4.36116113217e58	5.31810465558e59	-4.2
4.34213613675e58	1.27160678981e58	4.50927705569e58	-3.7
1.22695651664e59	3.384951812e57	1.24051416306e59	-4.4
1.6560878771e56	1.95536871936e56	4.71813551093e57	-3.8
4.75104976905e56	5.77425048751e56	1.55052550147e58	-3.1
5.12548667492e57	5.63565372888e57	2.67091110376e58	-4.6
3.93574498357e59	4.71640476427e57	1.92799679928e59	-4
1.51130707885e58	8.48668133842e56	2.60084395452e58	-3.6
1.13487544362e56	1.14315883303e56	4.77214607364e57	-4.1
1.53639012522e57	2.70066672448e57	1.51823824057e58	-4.5
7.43022233823e57	6.53504982856e57	2.64071784254e58	-4.4
1.15338447235e60	8.46906373032e58	5.56509114246e59	-4
1.78911547086e60	7.61464327302e58	5.57012479094e59	-3.8
1.8487355667e59	8.20480540483e57	3.68115355671e59	-3.1
3.07006537303e56	1.20668873977e57	8.60815333672e57	-4.5
4.95601924671e57	1.20019054698e58	2.67751764365e58	-3.3
1.12535429542e60	2.1811892934e58	4.56754352499e59	-3.5
1.4072294217e56	5.33243798434e57	8.70490636053e57	-3.2
7.38324413937e58	4.5576015896e58	7.53881272309e58	-4.2
3.57009246465e56	6.44153842387e57	1.56193287103e58	-3.1
1.25864630643e59	9.64564367445e58	1.33948610949e59	-3.5
1.32120507669e59	2.45969772151e56	1.94215415923e59	-4.7
2.79789048635e59	5.7444920389e56	2.7931387612e59	-4.6
2.18273644736e59	1.51252170272e58	1.28994693903e59	-3.6
7.89903592896e59	8.16911111769e57	4.9394380819e59	-3.3
2.54278089434e55	4.23124099798e56	1.63830960865e58	-2.9
1.82043098322e60	4.91148719505e57	5.32639326485e59	-3.9
7.94309812203e55	1.87063982336e57	4.79044233936e57	-3.4
2.37428982748e59	5.34229450368e56	3.85582517622e59	-4.9
4.26062173544e58	1.93168700413e57	4.47954550686e58	-4
6.69902382785e56	8.55968184094e57	8.35992525377e57	-3.9
1.33063319969e56	8.08385178754e56	4.74394186249e57	-3.5
3.63706097236e58	6.7886671898e57	4.58073006644e58	-3.5
2.3321614562e54	2.78538095198e57	9.36495700547e57	-2.9
5.67062463905e56	4.68566820341e57	8.41082979294e57	-4.1
1.57430724291e58	6.53982316653e56	2.58535126917e58	-3.8
2.48691041537e58	8.16795338286e57	5.9519405812e59	-2.9
1.00857979151e58	7.37298520763e57	2.60827456873e58	-4.2
1.33060543254e58	7.69349700219e56	4.6510922817e58	-4.7
1.0401245149e57	2.19273188749e58	1.52886283971e58	-3.4
1.62800579165e57	5.43945313062e57	4.94117583454e58	-3
1.29796167457e60	1.77627993891e58	5.21976281651e59	-4.1
4.00014867401e57	2.43992344127e57	1.473665222e58	-3.8
1.0075207803e60	1.79437108699e59	6.78016747893e59	-3.4
4.10403819061e59	4.20410409743e58	1.95225819687e59	-3.9
2.36130588228e58	2.66795070319e57	4.56475520262e58	-4.4
2.49035618516e55	3.59560879473e57	4.92308302683e57	-3.2
5.3683119192e56	5.41960863196e56	8.50385930486e57	-4.2
3.66642998208e57	4.88876428871e57	1.47530459641e58	-3.9
5.87336520506e59	5.9811122426e57	4.9939318588e59	-4.6
1.15518430312e60	1.48527932651e58	4.05617303707e59	-3.9
4.66569475979e54	1.42299879903e57	9.28357661517e57	-2.9
1.31923410967e59	1.84312557001e57	1.94158758332e59	-4.7
3.65882517385e59	6.79809265402e58	3.45597280495e59	-3.3
1.58902474915e58	2.7695750083e57	2.58542612172e58	-3.8
3.25625421722e58	7.25577109266e56	4.51113747161e58	-4.2
1.98006997065e58	2.3825969835e58	6.01460528676e59	-2.9
1.49730640002e60	6.82659423626e58	5.28553944415e59	-4
3.95146155619e57	1.37313990007e57	2.69009662195e58	-3.2
9.64839984713e58	2.27173925201e58	7.78324676599e58	-3.6
1.09440815722e59	8.28714436572e56	1.95773958441e59	-4.8
1.58416737597e55	3.08545396726e57	1.64870191498e58	-2.9
3.25688021544e57	2.00127680897e58	8.63790138579e58	-3
6.44583955735e56	3.33673636468e57	8.4302060231e57	-3.5
1.6274457869e59	3.41279021164e58	1.23561817373e59	-4.1
2.0280236879e59	3.23406010924e58	1.2354778004e59	-4
8.79287584528e57	6.52253550205e56	4.69684550695e58	-4.9
2.14118807054e59	1.35258048189e58	8.15819306745e59	-3
6.22206233945e54	5.23684790561e56	5.06562845055e57	-3
2.81664305767e57	6.86794460524e55	2.71601831782e58	-4.9
3.4155365422e57	6.38903055338e57	2.69471788002e58	-4.8
3.26782791449e58	1.17674866259e58	7.79377167644e58	-4.7
9.2143328821e57	2.4489128993e58	3.9781662228e59	-2.9
1.43016796048e58	5.19917060312e57	3.92240060884e59	-2.9
6.45327788145e59	7.83985743137e58	3.06410008236e59	-3.7
7.68952098944e58	1.58249977225e58	1.24422686804e59	-4.6
1.33832594788e58	4.63127187879e57	2.59089619723e58	-4
2.29003432772e59	2.76558914773e57	1.28746672604e59	-3.6
6.59535454956e57	4.20395096779e57	4.80464972493e58	-3.1
1.03409576759e57	3.08944619978e57	1.53113753969e58	-4.7
4.76161865865e58	1.25494380006e58	8.08679406279e58	-3.3
3.31049875277e58	1.57987382742e57	7.82147356475e58	-4.7
2.11946474836e59	5.29352173318e58	1.27508479867e59	-3.7
6.05953285523e56	2.04870657973e57	8.44034370679e57	-4.1
6.83567110981e58	5.10288201381e57	7.95886806454e58	-3.4
2.64588504154e58	7.30677444501e57	4.62311814718e58	-3.4
1.21015052267e58	3.20364821177e58	2.59154980688e58	-3.8
5.74283681958e58	1.84054861642e57	1.27343188712e59	-4.8
8.94029259979e57	3.43042322848e57	2.62993966683e58	-4.3
8.56436352147e56	2.49244699911e56	1.54214485395e58	-4.8
1.07826741e58	3.43756927487e57	4.66966288324e58	-4.8
1.45141369343e56	2.28460756975e57	4.72792530313e57	-3.6
5.91198246297e56	1.06341454963e58	8.35274714758e57	-3.9
3.00197424084e56	8.78846332235e57	8.56881132879e57	-3.4
9.88081930324e57	3.49280570398e58	2.58231289129e58	-4.1
8.13687753201e56	5.35563571685e56	8.38693238421e57	-3.9
2.671410596e58	1.82045789413e58	4.51212586106e58	-4.3
1.17913807971e60	8.7092068974e58	4.30134669378e59	-3.7
4.32769280637e58	4.67630052774e57	4.53731375003e58	-3.6
3.82762400434e57	1.73556489677e57	1.4792732296e58	-3.6
1.14915581998e56	1.1512913054e56	4.77718549217e57	-4.1
1.53099211119e58	9.42696787935e57	4.582989439e58	-4.6
3.03324184879e58	7.74350608145e57	2.39883051242e59	-3
1.37494973751e56	1.19138920765e56	8.74507743229e57	-4.9
3.96567751133e58	4.67086130072e57	7.75064592865e58	-4.6
2.72113726782e57	3.50458080005e58	2.72489014429e58	-3.3
2.20682507485e59	5.27423398186e57	3.85750953622e59	-4.9
1.02347753021e60	4.92360287467e57	5.02872101743e59	-4.3
4.66585695527e58	9.80143375104e56	4.47683054395e58	-3.9
1.0634800449e58	1.07937650073e58	4.65242213805e58	-4.8
6.70140691028e59	2.78726358931e57	2.84667609461e59	-4
