NII,OIII,Hb,Ha,OXYGEN,logU
2.2173133397538877e+35,1.1768715397964666e+36,5.546106290266399e+37,1.5866540854873217e+38,-6.506229983006871,-2.84943
1.7957027686122152e+37,2.207456380678272e+37,1.0691727881951647e+37,3.064180394860839e+37,-3.0544549659342817,-0.864602
8.037884990827131e+35,4.342039208073563e+38,2.9526434060828864e+37,9.477769887445975e+37,-3.377473031279511,1.0211
1.1498368158439317e+42,1.7611841906689816e+39,2.6909561144090787e+41,7.765140715064539e+41,-2.986503199112854,-3.17804
8.393648320949958e+44,2.0826632743625635e+50,8.490810600896394e+49,2.3311618981008523e+50,-5.060220129724117,-0.53105
1.1326745764144564e+36,5.928148500444713e+37,3.863732108359953e+38,1.0948480097724469e+39,-4.793050983302864,-3.51299
2.7749354673099427e+35,1.5256836827292222e+33,1.0678796154218125e+36,3.0588981285660364e+36,-5.4208841766058615,-4.27453
1.1820160128034842e+30,8.292546010912785e+29,4.8637423258349855e+32,1.3991636151000707e+33,-6.741897347268961,-3.81529
1.1980031434049233e+37,1.3010201356367641e+38,2.9568148784140924e+37,8.225478814396555e+37,-4.441867640146769,-0.815215
2.5737272735431964e+36,1.2675321564553271e+41,2.9804155925222625e+41,8.303922655663795e+41,-5.879223966896596,-0.654848
7.444741598640503e+29,3.192153559420505e+29,2.676068809772749e+31,7.668198788559021e+31,-6.104406314398323,-3.54548
2.462199437370191e+34,8.625251396880099e+37,4.687100974825423e+39,1.325524114248416e+40,-7.046551099807199,-1.48154
1.0675014945752572e+42,1.7611839773571244e+39,2.588259729655249e+41,7.449389108184333e+41,-2.986503199112854,-3.17804
5.355702257357959e+37,1.1025871852955564e+40,9.231880331669282e+40,2.5846863872325964e+41,-6.358561297293941,-0.935155
1.0675014945752572e+42,1.7611839773571244e+39,2.588259729655249e+41,7.449389108184333e+41,-2.986503199112854,-3.17804
6.476419152115766e+33,1.0059238864114735e+35,7.008650440629713e+34,2.0178506997034728e+35,-2.8025340600702897,-1.68233
7.129752950055212e+30,1.0805807559017095e+34,4.647239223233836e+34,1.316047204592135e+35,-5.571541442352171,-2.53854
2.6405712462999007e+31,4.17721925928335e+31,4.309921331919671e+32,1.2278608514185748e+33,-5.255323171870737,-3.45358
1.7693071318949596e+40,7.02103753579292e+40,3.3489373404747873e+41,9.511008986888289e+41,-5.673310187849475,-2.5121
6.560708669732752e+36,2.9723023897598642e+38,1.4185952336414982e+37,4.2377946466309823e+37,-3.54278934675033,0.771667
5.4451404462422006e+42,3.344945907277367e+45,8.057508690393935e+46,2.289166034418975e+47,-6.753347292536641,-1.35012
1.0410511363550723e+37,4.743357337488414e+39,1.6247824104302992e+41,4.548438329532962e+41,-7.0844696049580635,-0.519575
6.789090786158477e+34,2.739542740071856e+33,1.1724083928968387e+35,3.334303966153794e+35,-5.168171602063924,-3.77901
4.374459799870541e+41,5.989020133990428e+43,2.9283971019183342e+44,8.242430209836271e+44,-6.04250715358733,-1.45246
3.1508869605040315e+36,7.510790445142541e+37,1.2135671482641609e+38,3.541639784034071e+38,-2.8284315251676904,-2.94188
1.0137814746685977e+36,1.0782802308738432e+37,1.82822006227217e+37,5.177706203848423e+37,-5.042879120751435,-2.81362
2.4637466838421133e+30,2.5870272519142316e+31,2.008292705161615e+33,5.774912054279322e+33,-6.390289678109434,-3.3106
7.138044563325001e+36,1.89221045041454e+38,2.8837380585514836e+38,8.105551390852368e+38,-4.370432176511289,-3.28079
2.0026592282139145e+34,5.266042311737656e+33,1.217626359283821e+34,3.4401660978764407e+34,-4.392416076072136,-3.27671
1.8269940372264665e+42,4.202140464881105e+45,1.415643928710922e+45,3.975819208928024e+45,-4.597084081632036,-2.18119
6.510592121474561e+32,3.803676076187805e+36,2.315531751699548e+36,6.51640561545112e+36,-4.980888898541393,-1.50088
4.894841536599033e+40,4.4319654585894136e+42,9.024919783566292e+41,2.5097853872959196e+42,-4.204386770056213,-2.30683
7.461224963327825e+28,5.586474856379951e+28,1.0025378852210406e+31,2.8796570634635245e+31,-6.35884196703283,-3.66746
7.407065193131687e+42,8.015909948037736e+42,2.984926081457023e+42,8.487687855708097e+42,-2.973967867312841,-1.72108
1.935724493689854e+38,2.250387814086797e+41,8.364400830713487e+40,2.3185821002490064e+41,-4.936476346361215,-0.600801
2.4507886573936672e+38,4.5135776857829135e+39,5.403778827643265e+39,1.5165575939947157e+40,-3.8874223894258573,-3.31304
3.614270523030485e+31,1.3231968816885026e+31,1.5529628469549767e+33,4.4541266122537585e+33,-5.98509347390923,-3.84373
9.357554450694511e+33,3.745437125926087e+35,1.116089253633534e+35,3.2124159353806373e+35,-3.0006980275839745,-2.44731
6.560020904935527e+40,7.841309901888755e+40,5.1974678757145285e+41,1.5018211727609343e+42,-2.414329375381393,-2.42801
